fname,matrix_size,num_components,cpu_total,cpu_transfer,cpu_solve,cuda_total,cuda_transfer,cuda_solve
rand_003.csv,2,5,0.0007589000000000068,0.00025880000000000347,0.0005001000000000033,0.6757010999999999,0.23390249999999999,0.44179859999999993
rand_004.csv,6,10,0.0010263999999999829,0.00018090000000003936,0.0008454999999999435,0.0024333000000000826,0.0006983999999999879,0.0017349000000000947
rand_005.csv,9,13,0.001594699999999949,0.0001857999999999027,0.0014089000000000462,0.002761900000000095,0.0007468000000000474,0.0020151000000000474
rand_006.csv,12,22,0.0024608000000000407,0.0002843000000000151,0.0021765000000000256,0.002261099999999905,0.0005962999999999941,0.0016647999999999108
rand_007.csv,14,30,0.002514200000000022,0.0002155000000000351,0.002298699999999987,0.002634999999999943,0.000782699999999914,0.001852300000000029
rand_008.csv,23,45,0.0039312000000000236,0.00020860000000000323,0.0037226000000000203,0.002831499999999987,0.0008243999999999474,0.0020071000000000394
rand_009.csv,33,63,0.005238299999999918,0.00021759999999992896,0.005020699999999989,0.0033178000000000374,0.0006749999999999812,0.002642800000000056
rand_010.csv,54,92,0.008449100000000098,0.00025620000000003973,0.008192900000000058,0.0034459000000000017,0.000906700000000038,0.0025391999999999637
rand_011.csv,76,130,0.011593599999999982,0.00025079999999999547,0.011342799999999986,0.004003299999999932,0.0008439000000000085,0.0031593999999999234
rand_012.csv,99,188,0.015736399999999984,0.0002989999999999382,0.015437400000000046,0.004515000000000047,0.0009133000000000058,0.003601700000000041
rand_013.csv,143,266,0.02349369999999995,0.0003182999999999936,0.023175399999999957,0.005168100000000009,0.0009158000000000222,0.004252299999999987
rand_014.csv,230,380,0.036499599999999965,0.00039109999999986655,0.0361085000000001,0.007336299999999962,0.0009033999999998876,0.006432900000000075
rand_015.csv,315,539,0.05279710000000004,0.0004958999999999936,0.05230120000000005,0.011871900000000046,0.0011458000000001967,0.01072609999999985
rand_016.csv,448,764,0.0765016999999999,0.0006296999999999553,0.07587199999999994,0.01638459999999986,0.0010391000000000705,0.01534549999999979
rand_017.csv,638,1082,0.11324749999999995,0.0008406999999999165,0.11240680000000003,0.027015800000000034,0.0012688000000000699,0.025746999999999964
rand_018.csv,885,1532,0.16886430000000008,0.0010524000000002864,0.1678118999999998,0.04329699999999992,0.0013919999999996158,0.0419050000000003
rand_019.csv,1259,2169,0.2638947000000007,0.0014739999999999753,0.26242070000000073,0.08947859999999963,0.0016802000000000206,0.08779839999999961
rand_020.csv,1781,3069,0.4195045999999998,0.00181440000000066,0.4176901999999991,0.17236660000000015,0.0023604999999999876,0.17000610000000016
rand_021.csv,2498,4341,0.8723635000000005,0.002720899999999915,0.8696426000000006,0.37201720000000016,0.00326300000000046,0.3687541999999997
rand_022.csv,3547,6140,1.269426799999998,0.0034607999999991534,1.2659659999999988,0.8168234000000005,0.003567300000000273,0.8132561000000003
rand_023.csv,5016,8685,1.9544753999999998,0.00549519999999859,1.9489802000000012,2.0860051000000013,0.004287699999999006,2.0817174000000023
rand_024.csv,7170,12285,3.6301994000000093,0.018937200000010534,3.6112621999999988,5.9816103,0.005571500000002061,5.976038799999998
